SMILES,LC50
NC(=S)N/N=C/c1cc2c(OCO2)cc1,4.502182652116847
Cc1c(Cl)cc(N)c(O)c1,3.980946157900852
Cc1cc(nc(c1)c1ccccc1)c1ccccc1,5.482030152059028
COC(=O)/C(=C/c1ccc(cc1C)N(CCOC(=O)C)CCOC(=O)C)/C#N,4.802181753286068
CC(CO)(CCl)CCl,2.9173004058454266
CC(C)[NH+]1CCC(=O)CC1,1.7557506878659348
CC(C)(C)c1nnc(NS(=O)(=O)c2ccc(N)cc2)s1,4.432046242876944
CCC(C)(C)C(=O)OOC(C)(C)C,4.076758226338295
COC(=O)c1c(C#N)c(Cl)c(Cl)c(Cl)c1Cl,6.616493695252707
Cc1ccc(cc1)S(=O)(=O)O.N[C@@H](Cc1ccc(O)cc1)C(=O)OCc1ccccc1,3.3089730411704994
CN(C)c1ccc(/C=C/2\SC(=S)NC2=O)cc1,4.711882953910024
CC(C)Nc1ccc2ccccc2c1,5.047945351340719
COC(=O)c1cc(N)c(O)cc1,3.4761510797633988
COCCOCCOCCOCCOC(C)(C)C,2.212076811720396
CN(C)c1ccc(cc1)N=C1Sc2c(cccc2)C1=O,5.499986744181196
CCCCCCOC=C,4.419668823846652
Clc1ccc(cc1)C(=O)CBr,4.884425793966775
NNC(=O)c1ccc(Cl)cc1,3.0775131528762456
CC(=O)CS(=O)(=O)c1ccc(C)cc1,3.4469358514387274
CC(C)c1ccc(cc1)C(=O)O,4.475939545807051
[O-][N+](=O)c1ccc(OCCCCCN2CCOCC2)cc1,4.050411629264464
Clc1cc(OP(=O)(Cl)Cl)c(Cl)cc1,5.88064364756937
CCCn1c(N)cc(=O)[nH]c1=O,2.4055222607531492
CCN(CCOC(=O)c1ccccc1)c1ccc(C=O)cc1,4.591086141891747
COC(=O)c1cc(OC)ccc1,3.506981049822771
CCc1cc(C)ncc1,3.1266928879519194
Cc1cc(NN)ccc1,2.84160949470165
CCCCc1cc(N)ccc1,4.065521848529568
CC(C)(C)c1cc(N)ccc1,4.189179069700721
OS(=O)(=O)c1ccc2CCc3c2c1ccc3,4.44642427453002
CC(=O)c1ccc(Br)s1,5.106533985493776
CC1(C)CC(C)(C)c2c1ccc(O)c2,5.024774539606008
CC(C)(C)c1cc2c(cc1O)C(C)(C)CC2(C)C,5.85976531335879
Cc1cc2c(c(O)c1)C(C)(C)CC2(C)C,5.038784446399109
Cc1cc(O)cc2c1C(C)(C)CC2(C)C,5.170848018835737
CC1(C)CC2(CCCCC2)c2c1cc(O)cc2,5.117860982567935
CC(C)(C)c1cc2c(cc1O)C(C)(C)CC12CCCCC1,5.921177181036065
CC1(C)CC(C)(C)c2c1cc(O)c(Cl)c2,5.3918156487635525
CC1(C)CC(C)(C)c2c3c(c(O)cc12)C(C)(C)CC3(C)C,6.194889569411638
[Cl-].CC(C)[NH2+]C(=NC(=Nc1cc(Cl)c(Cl)cc1)N)N,4.226389612910082
[O-]C(=O)CSc1n[nH]c(=S)s1,4.491733432517973
COC(=O)CCN(CCC(=O)OC)c1ccccc1,3.8836210668263944
CC(C)(C)c1cc(c(O)cc1O)C(C)(C)C,5.248662815342508
COc1cc(/C=C/c2ccc(O)cc2)cc(OC)c1,5.361399445996075
